objectid,id,cancer,resp,pm25,p_pm25
71919,180973310002,30.5299466995,0.433191830595,9.75199535519,85.6015905876
71920,180973310003,30.5299466995,0.433191830595,9.75199535519,85.6015905876
71921,180973310004,30.5299466995,0.433191830595,9.75199535519,85.6015905876
71922,180973310005,30.5299466995,0.433191830595,9.75199535519,85.6015905876
71923,180973401011,28.7634055484,0.406497279463,9.66518606557,84.118818363
71924,180973401012,28.7634055484,0.406497279463,9.66518606557,84.118818363
71925,180973401013,28.7634055484,0.406497279463,9.66518606557,84.118818363
71926,180973401021,29.9446515377,0.422111531373,9.71915655738,85.0471918911
71927,180973401022,29.9446515377,0.422111531373,9.71915655738,85.0471918911
71928,180973401081,30.7893110217,0.438672908093,9.7658068306,85.8312692321
71929,180973401082,30.7893110217,0.438672908093,9.7658068306,85.8312692321
71930,180973401091,30.282492076,0.423626625412,9.74670191257,85.5072896672
71931,180973401101,29.0076672629,0.409638411137,9.72646939891,85.1765742103
71932,180973401102,29.0076672629,0.409638411137,9.72646939891,85.1765742103
71933,180973401103,29.0076672629,0.409638411137,9.72646939891,85.1765742103
71934,180973401111,28.9128279014,0.403103188865,9.72830027322,85.2093027358
71935,180973401112,28.9128279014,0.403103188865,9.72830027322,85.2093027358
71936,180973401121,29.5676903884,0.408784650213,9.71059180328,84.8839177822
71937,180973401122,29.5676903884,0.408784650213,9.71059180328,84.8839177822
71938,180973401123,29.5676903884,0.408784650213,9.71059180328,84.8839177822
71939,180973401131,28.3978075084,0.39504001985,9.69384234973,84.5990482298
71940,180973401132,28.3978075084,0.39504001985,9.69384234973,84.5990482298
71941,180973401141,28.1968112219,0.387155165127,9.67663797814,84.3061067095
71942,180973401142,28.1968112219,0.387155165127,9.67663797814,84.3061067095
71943,180973402011,30.2636810452,0.436329256342,9.7717079235,85.9334824812
71944,180973402012,30.2636810452,0.436329256342,9.7717079235,85.9334824812
71945,180973402021,30.8335801035,0.440977154177,9.79301120219,86.3052781919
71946,180973402022,30.8335801035,0.440977154177,9.79301120219,86.3052781919
71947,180973402023,30.8335801035,0.440977154177,9.79301120219,86.3052781919
71948,180973403001,30.8464899093,0.436124911887,9.80535956284,86.5074615882
71949,180973403002,30.8464899093,0.436124911887,9.80535956284,86.5074615882
71950,180973403003,30.8464899093,0.436124911887,9.80535956284,86.5074615882
71951,180973403004,30.8464899093,0.436124911887,9.80535956284,86.5074615882
71952,180973403005,30.8464899093,0.436124911887,9.80535956284,86.5074615882
71953,180973404001,31.0057697823,0.436480781937,9.82944125683,86.95813313
71954,180973404002,31.0057697823,0.436480781937,9.82944125683,86.95813313
71955,180973404003,31.0057697823,0.436480781937,9.82944125683,86.95813313
71956,180973405001,30.9719152753,0.43330721444,9.84753606557,87.2356031434
71957,180973405002,30.9719152753,0.43330721444,9.84753606557,87.2356031434
71958,180973405003,30.9719152753,0.43330721444,9.84753606557,87.2356031434
71959,180973406001,31.9212970412,0.452925591338,9.86920928962,87.59464968
71960,180973406002,31.9212970412,0.452925591338,9.86920928962,87.59464968
71961,180973406003,31.9212970412,0.452925591338,9.86920928962,87.59464968
71962,180973406004,31.9212970412,0.452925591338,9.86920928962,87.59464968
